#Supplementary Data 1. Drug-disease annotations and proximity values of drugs to diseases, pathways and side effects.							
Disease	Drug	Drugbank ID	Palliative	In FDA label	Relative Efficacy (RE)	Indication (from DailyMed)	Note
diabetes mellitus type 2	Tolbutamide	DB01124	0	1	NA	Tolbutamide tablets are indicated as an adjunct to diet to lower the blood glucose in patients with non-insulin-dependent diabetes mellitus (type II) whose hyperglycemia cannot be controlled by diet alone. In initiating treatment for non-insulin-dependent diabetes, diet should be emphasized as the primary form of treatment. Caloric restriction and weight loss are essential in the obese diabetic patient. Proper dietary management alone may be effective in controlling the blood glucose and symptoms of hyperglycemia. The importance of regular physical activity should also be stressed, and cardiovascular risk factors should be identified and corrective measures taken where possible. If this treatment program fails to reduce symptoms and/or blood glucose, the use of an oral sulfonylurea or insulin should be considered. Use of tolbutamide tablets must be viewed by both the physician and patient as a treatment in addition to diet, and not as a substitute for diet or as a convenient mechanism for avoiding dietary restraint. Furthermore, loss of blood glucose control on diet alone may be transient, thus requiring only short-term administration of tolbutamide tablets. During maintenance programs, tolbutamide tablets should be discontinued if satisfactory lowering of blood glucose is no longer achieved. Judgments should be based on regular clinical and laboratory evaluations. In considering the use of tolbutamide tablets in asymptomatic patients, it should be recognized that controlling the blood glucose in non-insulin dependent diabetes has not been definitely established to be effective in preventing the long-term cardiovascular or neural complications of diabetes.	
endocrine system diseases	Hydrocortisone	DB00741	0	0	NA	temporary relief of itching associated with minor skin irritations and rashes due to eczema insect bites poison ivy, poison oak, or poison sumac soaps detergents cosmetics jewelry seborrheic dermatitis psoriasis external genital and anal itching eczema insect bites poison ivy, poison oak, or poison sumac soaps detergents cosmetics jewelry seborrheic dermatitis psoriasis external genital and anal itching other uses of this product should be only under the advice and supervision of a doctor	
endocrine system diseases	Progesterone	DB00396	0	1	NA	Progesterone Capsules are indicated for use in the prevention of endometrial hyperplasia in nonhysterectomized postmenopausal women who are receiving conjugated estrogens tablets. They are also indicated for use in secondary amenorrhea.	They are also indicated for use in secondary amenorrhea.
epilepsy	Acetazolamide	DB00819	0	1	0,7	For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies (petit mal, unlocalized seizures); chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surgery is desired in order to lower intraocular pressure. Acetazolamide Tablets are also indicated for the prevention or amelioration of symptoms associated with acute mountain sickness in climbers attempting rapid ascent and in those who are very susceptible to acute mountain sickness despite gradual ascent.	
epilepsy	Carbamazepine	DB00564	0	1	0,773585	Carbamazepine Tablets USP and Carbamazepine Tablets USP (chewable) are indicated for use as an anticonvulsant drug. Evidence supporting efficacy of Carbamazepine Tablets USP and Carbamazepine Tablets USP (chewable) as an anticonvulsant was derived from active drug-controlled studies that enrolled patients with the following seizure types: 1. Partial seizures with complex symptomatology (psychomotor, temporal lobe). Patients with these seizures appear to show greater improvement than those with other types. 2. Generalized tonic-clonic seizures (grand mal). 3. Mixed seizure patterns which include the above, or other partial or generalized seizures. Absence seizures (petit mal) do not appear to be controlled by Carbamazepine Tablets USP and Carbamazepine Tablets USP (chewable) (see PRECAUTIONS, General). Carbamazepine Tablets USP and Carbamazepine Tablets USP (chewable) are indicated in the treatment of the pain associated with true trigeminal neuralgia. Beneficial results have also been reported in glossopharyngeal neuralgia. This drug is not a simple analgesic and should not be used for the relief of trivial aches or pains.	
epilepsy	Clonazepam	DB01068	0	1	0,65873	Clonazepam is useful alone or as an adjunct in the treatment of the Lennox-Gastaut syndrome (petit mal variant), akinetic and myoclonic seizures. In patients with absence seizures (petit mal) who have failed to respond to succinimides, clonazepam may be useful. In some studies, up to 30% of patients have shown a loss of anticonvulsant activity, often within 3 months of administration. In some cases, dosage adjustment may re-establish efficacy. Clonazepam is indicated for the treatment of panic disorder, with or without agoraphobia, as defined in DSM-IV. Panic disorder is characterized by the occurrence of unexpected panic attacks and associated concern about having additional attacks, worry about the implications or consequences of the attacks, and/or a significant change in behavior related to the attacks. The efficacy of clonazepam was established in two 6- to 9-week trials in panic disorder patients whose diagnoses corresponded to the DSM-IIIR category of panic disorder (see CLINICAL PHARMACOLOGY: Clinical Trials). Panic disorder (DSM-IV) is characterized by recurrent unexpected panic attacks, i.e., a discrete period of intense fear or discomfort in which four (or more) of the following symptoms develop abruptly and reach a peak within 10 minutes: (1) palpitations, pounding heart or accelerated heart rate; (2) sweating; (3) trembling or shaking; (4) sensations of shortness of breath or smothering; (5) feeling of choking; (6) chest pain or discomfort; (7) nausea or abdominal distress; (8) feeling dizzy, unsteady, lightheaded or faint; (9) derealization (feelings of unreality) or depersonalization (being detached from oneself); (10) fear of losing control; (11) fear of dying; (12) paresthesias (numbness or tingling sensations); (13) chills or hot flushes. The effectiveness of clonazepam in long-term use, that is, for more than 9 weeks, has not been systematically studied in controlled clinical trials. The physician who elects to use clonazepam for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient (see DOSAGE AND ADMINISTRATION).	
epilepsy	Diazepam	DB00829	0	0	0,671642	Diazepam Tablets USP are indicated for the management of anxiety disorders or for the short-term relief of the symptoms of anxiety. Anxiety or tension associated with the stress of everyday life usually does not require treatment with an anxiolytic. In acute alcohol withdrawal, diazepam may be useful in the symptomatic relief of acute agitation, tremor, impending or acute delirium tremens and hallucinosis. Diazepam is a useful adjunct for the relief of skeletal muscle spasm due to reflex spasm to local pathology (such as inflammation of the muscles or joints, or secondary to trauma), spasticity caused by upper motor neuron disorders (such as cerebral palsy and paraplegia), athetosis, and stiff-man syndrome. Oral diazepam may be used adjunctively in convulsive disorders, although it has not proved useful as the sole therapy. The effectiveness of diazepam in long-term use, that is, more than 4 months, has not been assessed by systematic clinical studies. The physician should periodically reassess the usefulness of the drug for the individual patient.	Oral diazepam may be used adjunctively in convulsive disorders, although it has not proved useful as the sole therapy.
epilepsy	Felbamate	DB00949	0	1	0,833333	Felbamate is not indicated as a first line antiepileptic treatment (see Warnings). Felbamate is recommended for use only in those patients who respond inadequately to alternative treatments and whose epilepsy is so severe that a substantial risk of aplastic anemia and/or liver failure is deemed acceptable in light of the benefits conferred by its use. If these criteria are met and the patient has been fully advised of the risk, and has provided written acknowledgement, Felbamate can be considered for either monotherapy or adjunctive therapy in the treatment of partial seizures, with and without generalization, in adults with epilepsy and as adjunctive therapy in the treatment of partial and generalized seizures associated with Lennox-Gastaut syndrome in children.	
epilepsy	Gabapentin	DB00996	0	1	0,4875	Gabapentin capsules, USP are indicated for the management of postherpetic neuralgia in adults. Gabapentin capsules, USP are indicated as adjunctive therapy in the treatment of partial seizures with and without secondary generalization in patients over 12 years of age with epilepsy. Gabapentin capsules, USP are also indicated as adjunctive therapy in the treatment of partial seizures in pediatric patients age 3 to 12 years.	
epilepsy	Lamotrigine	DB00555	0	1	0,679549	Lamotrigine tablets USP are indicated for: Epilepsy adjunctive therapy in patients aged 2 years and older: Partial-onset seizures. primary generalized tonic-clonic seizures. generalized seizures of Lennox-Gastaut syndrome. ( 1.1) Epilepsymonotherapy in patients aged 16 years and older: Conversion to monotherapy in patients with partial-onset seizures who are receiving treatment with carbamazepine, phenytoin, phenobarbital, primidone, or valproate as the single AED. (1.1) Bipolar disorder in patients aged 18 years and older: Maintenance treatment of bipolar I disorder to delay the time to occurrence of mood episodes in patients treated for acute mood episodes with standard therapy. (1.2)	
